58	OK	jina	1544	https://medium.com/@ar_hawk/from-django-debug-mode-to-pii-data-leak-of-more-than-500-employees-due-broken-access-control-and-a3eb602a4207
61	OK	jina	438	https://princej-76.medium.com/how-i-chained-multiple-high-impact-vulnearbilities-to-create-a-critical-one-476950a3bb9f
57	OK	jina	3071	https://www.pingsafe.com/blog/linkedin-vulnerability-delete-any-post
68	OK	jina	534	https://medium.com/@metikalakullai.gtl/my-p1-account-takeover-3293fc59e10
64	OK	jina	521	https://medium.com/@mukundbhuva/accessing-the-data-sources-of-any-facebook-business-account-via-idor-in-graphql-1fc963ad3ecd
65	LOW	direct	81	https://hopesamples.blogspot.com/2023/03/idor-on-bitdefendercom.html
69	OK	jina	1091	https://0x1int.gitbook.io/blogs/insufficient-graphql-api-vulnerability-due-to-lack-of-validation-of-authorization-bearer-token
67	LOW	direct	6	https://medium.com/@kushjain0107/how-simple-idor-impacted-the-data-of-thousands-of-customers-of-an-indian-automotive-giant-fdbd2ef1c2c6
74	OK	jina	792	https://shahjerry33.medium.com/idor-inside-the-session-storage-88af485fc899
71	OK	jina	1112	https://vengeance.medium.com/found-an-url-in-the-android-application-source-code-which-lead-to-an-idor-1b8768708756
72	OK	jina	399	https://yaseenzubair.medium.com/idor-leads-to-mass-account-takeover-7548a03f5672
78	OK	jina	595	https://medium.com/@abhisekr/discovered-a-critical-idor-and-earned-900-for-my-first-p1-vulnerability-57c1e72f42c1
73	OK	wayback	691	https://medium.com/@rezaduty/play-with-google-twitter-apple-dell-a90777faa779
80	OK	jina	2058	https://melotover.medium.com/bypassing-e2e-encryption-leads-to-multiple-high-vulnerabilities-65b708e5ad84
75	LOW	direct	6	https://infosecwriteups.com/an-idor-vulnerability-often-hides-many-others-2893ddd0a0d7
85	OK	jina	691	https://infosecwriteups.com/graphql-idor-leaking-credit-card-information-of-1000s-of-users-d07eec732979
77	LOW	direct	6	https://medium.com/@mrhavit/how-i-found-an-insecure-direct-object-reference-in-tiktok-c7303addf223
81	OK	jina	2218	https://dhakalbibek.medium.com/2022-a-year-of-fascinating-discoveries-d3277dfb006f
84	OK	jina	739	https://m7arm4n.medium.com/zero-click-to-account-takeover-idor-xss-98dd6cce63c4
89	OK	jina	562	https://medium.com/@mrd17x/scoring-for-a-very-simple-bug-you-dont-always-need-proxy-tools-872a832f83ea
86	OK	jina	2946	https://medium.com/@jonathanbouman/unprotected-api-endpoint-at-hawebsso-nl-5f1951e212fe
87	OK	jina	931	https://0x4kd.medium.com/how-i-became-a-millionaire-in-3h-fintech-bug-bounty-part-1-90193c5bd86f
91	OK	jina	1100	https://medium.com/@swapmaurya20/3-step-idor-in-hackerresume-a365f2632996
88	LOW	direct	81	https://hopesamples.blogspot.com/2022/12/idor-allows-to-assign-deleted-tasks-to.html
93	LOW	wayback	242	https://hopesamples.blogspot.com/2022/11/the-space-creators-can-still-see.html
96	OK	jina	952	https://infosecwriteups.com/a-great-weekend-hack-worth-8k-9bfda8ab65b9
90	LOW	direct	6	https://xcoder074.medium.com/bac-idor-how-my-father-credit-card-help-me-to-find-this-access-control-issue-7ff7c1ae463e
95	OK	jina	1007	https://medium.com/@protostar0/hacking-bank-the-second-story-of-finding-critical-vulnerabilities-on-banking-application-ac20cd8f3dad
98	OK	wayback	693	https://hacklido.com/d/93-able-to-mass-change-profile-section-leads-to-my-first-bounty
97	OK	jina	939	https://iamgk808.medium.com/how-i-hacked-into-a-government-e-learning-website-ce8da8fb4ccc
99	OK	jina	637	https://gonzxph.medium.com/account-takeover-worth-of-2500-e643661f94e9
100	OK	jina	956	https://medium.com/@hf6452/a-story-of-a-strange-stored-idor-b6f2769bb6cb
103	OK	jina	321	https://medium.com/@shellyshubh/idor-on-unsubscribe-emails-to-200-bounty-ae16fb783b01
101	OK	jina	689	https://caesarevan23.medium.com/google-vrp-acquisitions-insecure-direct-object-reference-2nd-2ece9b185ade
105	OK	jina	784	https://caesarevan23.medium.com/google-vrp-insecure-direct-object-reference-3133-70-a0e37023a4c7
104	OK	jina	939	https://medium.com/the-gray-area/1-000-p1-pii-disclosure-w-idor-cb344c55d52e
102	OK	wayback	547	https://medium.com/@nxenon/some-tips-to-finding-idors-more-easily-and-fixing-them-2c9d0c58bb4a
109	OK	jina	1712	https://mearegtu.medium.com/insecure-comments-73399193f804
106	OK	jina	2347	https://medium.com/@iknowhatodo/fall-account-takeover-via-amazon-cognito-misconfiguration-ba5975b06c24
107	LOW	direct	6	https://infosecwriteups.com/critical-idor-vulnerability-on-medium-f78346edbcb1
110	OK	wayback	922	https://adilnbabras.medium.com/how-i-found-an-idor-worth-1500-d5f78bc22a7e
115	LOW	wayback	164	https://hopesamples.blogspot.com/2022/09/details-about-future-collaboration.html
114	LOW	wayback	183	https://hopesamples.blogspot.com/2022/09/group-experts-pending-expertise-request.html
117	OK	jina	553	https://medium.com/@0x0Asif/how-i-found-my-first-rce-8f8033883dc4
119	OK	jina	455	https://eslam3kl.medium.com/idor-at-login-function-leads-to-leak-users-pii-data-d77e6613e9e0
113	LOW	wayback	141	https://hopesamples.blogspot.com/2022/09/idor-leads-to-removing-members-from-any.html
116	OK	jina	1484	https://medium.com/@jedus0r/idor-insecure-direct-object-references-my-first-p1-in-bugbounty-fb01f50e25df
120	OK	jina	640	https://sagarsajeev.medium.com/unsubscribe-any-users-e-mail-notifications-via-idor-2c2e05b79dac
123	OK	jina	784	https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog/oracle-sbc-multiple-security-vulnerabilities-leading-to-unauthorized-access-and-denial-of-service/
122	OK	wayback	858	https://infosecwriteups.com/break-the-logic-5-different-perspectives-in-single-page-1500-5aa09da0fe7a
125	OK	jina	1028	https://medium.com/@bharatsingh070601/bypassing-unexpected-idor-e6a9da2e0498
124	OK	jina	640	https://sagarsajeev.medium.com/business-logic-vulnerability-via-idor-6d510f1caea9
121	OK	jina	1435	https://monish-basaniwal.medium.com/the-million-dollar-hack-8163892bfe2f
128	FAIL	none	0	https://adnanmalik.info/blog/digging-js-files-to-find-bugs/
126	OK	jina	1301	https://canmustdie.medium.com/multiple-bugs-in-one-program-leads-to-1500-c35fcde06bc7
127	LOW	direct	6	https://medium.com/@xpertwhitehat/publicly-accessible-android-crash-reports-containing-sensitive-information-ec1220079f31
132	OK	jina	632	https://medium.com/@evilmango/this-is-what-i-call-mass-idor-20e6ec146c0e
